
RCP4.5_WITH SUPPLEMENTARY EXTENSION SCP45to3PD__MIDYEAR__CONCENTRATIONS____________________________
CONTENT:           CMIP5 RECOMMENDATIONS FOR ANNUAL AVERAGE, GLOBAL MEAN CONCENTRATIONS.
RUN:               RCP45SCP45to3PD, FINAL RELEASE, 30 May 2010
RCP4.5 CONTACT:    MiniCAM group, Allison Thomson (Allison.Thomson@pnl.gov)
DATE:              30/5/2010 01:02:33
MAGICC-VERSION:    6.3.09, 25 November 2009
FILE PRODUCED BY:  RCP Concentration Calculation & Data Group, M. Meinshausen, S. Smith, K. Riahi, D. van Vuuren et al. 
DOCUMENTATION:     M. Meinshausen, S. Smith et al. (2011) "The RCP GHG concentrations and their extension from 1765 to 2300", DOI 10.1007/s10584-011-0156-z, Climatic Change.
CMIP5 INFO:        http://cmip-pcmdi.llnl.gov/cmip5/
RCP DATABASE:      http://www.iiasa.ac.at/web-apps/tnt/RcpDb
FURTHER INFO:      For data sources, aknowledgements and further information, see http://www.pik-potsdam.de/~mmalte/rcps
NOTE:              RCP4.5 starts 2005; 20th century data and earlier is provided for convenience; supplementary extension so that RCP3PD levels reached by 2250.

COLUMN_DESCRIPTION________________________________________
1. CO2EQ            - (For Information only, not CMIP5 recommendation) CO2 equivalence concentrations using CO2 radiative forcing relationship Q = 3.71/ln(2)*ln(C/278), aggregating all (efficacy-adjusted) anthropogenic forcings, including greenhouse gases listed below (i.e. columns 3,4,5 and 8-35), and aerosols, trop. ozone etc. (not listed below).
2. KYOTO-CO2EQ      - (For information only, not CMIP5 recommendation) As column 1, but only aggregating greenhouse gases controlled under the Kyoto Protocol (columns 3,4,5 and 8-19).
3. CO2              - Atmospheric CO2 concentrations
4. CH4              - Atmospheric CH4 concentrations
5. N2O              - Atmospheric N2O concentrations
6. FGASSUMHFC134AEQ - All flourinated gases controlled under the Kyoto Protocol, i.e. HFCs, PFCs, and SF6 (columns 8-19) expressed as HFC134a equivalence concentrations.
7. MHALOSUMCFC12EQ  - All flourinated gases controlled under the Montreal Protocol, i.e. CFCs, HCFCs, Halons, CCl4, CH3Br, CH3Cl (columns 20-35) expressed as CFC-12 equivalence concentrations.
8. - 19.            - Flourinated Gases controlled under the Kyoto Protocol
20. - 35.           - Ozone Depleting Substances controlled under the Montreal Protocol


 &THISFILE_SPECIFICATIONS
 THISFILE_DATACOLUMNS    =          35,
 THISFILE_FIRSTYEAR      =        1765,
 THISFILE_LASTYEAR       =        2500,
 THISFILE_ANNUALSTEPS    =           1,
 THISFILE_FIRSTDATAROW   =          40,
 THISFILE_UNITS          =  SEE ROW 38,
 THISFILE_DATTYPE        =  RCPDAT
/

   COLUMN:                   1                   2                   3                   4                   5                   6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34                  35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
      2142      0.54383785E+03      0.59658015E+03      0.51216469E+03      0.14739583E+04      0.37219809E+03      0.78316316E+03      0.14207570E+03      0.15735475E+03      0.13416516E+02      0.31733182E+00      0.19428183E+02      0.42883670E+02      0.36852611E+01      0.31700326E+02      0.33890499E+03      0.12145645E+03      0.98181326E-01      0.26327310E+02      0.28541914E+02      0.10534965E+02      0.10712998E+03      0.10936444E+02      0.96202285E+01      0.83045848E+01      0.17034658E+00      0.18128367E-10      0.90627293E-01      0.20171844E+00      0.63337091E-01      0.31296067E-02      0.17554854E-21      0.39419028E+00      0.27226809E-03      0.60223288E+01      0.53802891E+03
      2143      0.54170485E+03      0.59437522E+03      0.51041330E+03      0.14718674E+04      0.37190846E+03      0.78463666E+03      0.14026289E+03      0.15748252E+03      0.13431095E+02      0.31757566E+00      0.19410366E+02      0.42892154E+02      0.36855339E+01      0.31693997E+02      0.34002817E+03      0.12160944E+03      0.96980676E-01      0.26333162E+02      0.28584121E+02      0.10258468E+02      0.10575429E+03      0.10771410E+02      0.95788726E+01      0.82982736E+01      0.16208427E+00      0.14685642E-10      0.82957262E-01      0.19167971E+00      0.59750216E-01      0.29236086E-02      0.12434849E-21      0.38650705E+00      0.25743112E-03      0.60190372E+01      0.53802891E+03
      2144      0.53952248E+03      0.59211471E+03      0.50861847E+03      0.14697477E+04      0.37160717E+03      0.78605528E+03      0.13847636E+03      0.15759526E+03      0.13443958E+02      0.31779084E+00      0.19394026E+02      0.42899228E+02      0.36858060E+01      0.31688219E+02      0.34113931E+03      0.12174403E+03      0.95848627E-01      0.26338361E+02      0.28621355E+02      0.99889736E+01      0.10439583E+03      0.10608813E+02      0.95376812E+01      0.82919652E+01      0.15422013E+00      0.11896758E-10      0.75936544E-01      0.18214683E+00      0.56369823E-01      0.27311468E-02      0.88081313E-22      0.37897261E+00      0.24340048E-03      0.60177703E+01      0.53802891E+03
      2145      0.53730697E+03      0.58981571E+03      0.50679319E+03      0.14676356E+04      0.37129433E+03      0.78742940E+03      0.13671721E+03      0.15769297E+03      0.13455106E+02      0.31797738E+00      0.19379176E+02      0.42906976E+02      0.36861290E+01      0.31683216E+02      0.34224469E+03      0.12186113E+03      0.94783715E-01      0.26343734E+02      0.28653618E+02      0.97265701E+01      0.10305552E+03      0.10448755E+02      0.94966888E+01      0.82856649E+01      0.14674140E+00      0.96379315E-11      0.69511508E-01      0.17309343E+00      0.53184711E-01      0.25513878E-02      0.62391735E-22      0.37159050E+00      0.23013778E-03      0.60191095E+01      0.53802891E+03
      2146      0.53506492E+03      0.58748489E+03      0.50494182E+03      0.14655604E+04      0.37097004E+03      0.78876770E+03      0.13498628E+03      0.15777566E+03      0.13464537E+02      0.31813529E+00      0.19365823E+02      0.42916917E+02      0.36865466E+01      0.31679187E+02      0.34334972E+03      0.12196158E+03      0.93784441E-01      0.26349940E+02      0.28680911E+02      0.94712819E+01      0.10173415E+03      0.10291318E+02      0.94559262E+01      0.82793777E+01      0.13963440E+00      0.78086166E-11      0.63632585E-01      0.16449497E+00      0.50184138E-01      0.23835365E-02      0.44194716E-22      0.36434382E+00      0.21760531E-03      0.60229736E+01      0.53802891E+03
      2147      0.53279902E+03      0.58512462E+03      0.50306498E+03      0.14635524E+04      0.37063440E+03      0.79007950E+03      0.13328459E+03      0.15784332E+03      0.13472254E+02      0.31826457E+00      0.19353980E+02      0.42930554E+02      0.36871077E+01      0.31676358E+02      0.34446028E+03      0.12204628E+03      0.92849435E-01      0.26357663E+02      0.28703236E+02      0.92231510E+01      0.10043262E+03      0.10136596E+02      0.94154289E+01      0.82731093E+01      0.13288627E+00      0.63272970E-11      0.58254342E-01      0.15632964E+00      0.47357989E-01      0.22268492E-02      0.31304994E-22      0.35723602E+00      0.20576745E-03      0.60296906E+01      0.53802891E+03
      2148      0.53050048E+03      0.58272529E+03      0.50115439E+03      0.14616104E+04      0.37028753E+03      0.79136566E+03      0.13161178E+03      0.15789595E+03      0.13478254E+02      0.31836523E+00      0.19343643E+02      0.42947540E+02      0.36878136E+01      0.31674737E+02      0.34557718E+03      0.12211566E+03      0.91976824E-01      0.26366858E+02      0.28720595E+02      0.89820115E+01      0.99150807E+02      0.99845642E+01      0.93752019E+01      0.82668607E+01      0.12647939E+00      0.51276830E-11      0.53334090E-01      0.14857446E+00      0.44696152E-01      0.20805853E-02      0.22174657E-22      0.35028437E+00      0.19458604E-03      0.60374256E+01      0.53802891E+03
      2149      0.52815535E+03      0.58027205E+03      0.49919819E+03      0.14597105E+04      0.36992953E+03      0.79262092E+03      0.12996653E+03      0.15793356E+03      0.13482540E+02      0.31843728E+00      0.19334800E+02      0.42966362E+02      0.36886302E+01      0.31674162E+02      0.34669747E+03      0.12216977E+03      0.91164379E-01      0.26376978E+02      0.28732989E+02      0.87475509E+01      0.97887870E+02      0.98351100E+01      0.93352267E+01      0.82606293E+01      0.12039332E+00      0.41559891E-11      0.48832090E-01      0.14123058E+00      0.42188708E-01      0.19440237E-02      0.15707251E-22      0.34348231E+00      0.18402199E-03      0.60443106E+01      0.53802891E+03
      2150      0.52575655E+03      0.57775737E+03      0.49719044E+03      0.14578378E+04      0.36956049E+03      0.79384223E+03      0.12834787E+03      0.15795614E+03      0.13485111E+02      0.31848074E+00      0.19327439E+02      0.42986133E+02      0.36895353E+01      0.31674523E+02      0.34781936E+03      0.12220877E+03      0.90410058E-01      0.26387686E+02      0.28740420E+02      0.85195134E+01      0.96643183E+02      0.96881480E+01      0.92954912E+01      0.82544135E+01      0.11460998E+00      0.33687796E-11      0.44712307E-01      0.13425180E+00      0.39826468E-01      0.18165029E-02      0.11126113E-22      0.33682470E+00      0.17403949E-03      0.60503802E+01      0.53802891E+03
      2151      0.52330289E+03      0.57518003E+03      0.49513023E+03      0.14559861E+04      0.36918051E+03      0.79502873E+03      0.12675515E+03      0.15796370E+03      0.13485967E+02      0.31849560E+00      0.19321553E+02      0.43006524E+02      0.36905191E+01      0.31675766E+02      0.34894239E+03      0.12223292E+03      0.89712017E-01      0.26398844E+02      0.28742889E+02      0.82977000E+01      0.95416367E+02      0.95436225E+01      0.92559910E+01      0.82482127E+01      0.10911346E+00      0.27309519E-11      0.40942037E-01      0.12759776E+00      0.37572148E-01      0.16974163E-02      0.78810985E-23      0.33030777E+00      0.16460577E-03      0.60561091E+01      0.53802891E+03
      2152      0.52083971E+03      0.57259002E+03      0.49306042E+03      0.14541505E+04      0.36878971E+03      0.79619935E+03      0.12518779E+03      0.15796375E+03      0.13485965E+02      0.31849618E+00      0.19316434E+02      0.43027400E+02      0.36915708E+01      0.31677712E+02      0.35006616E+03      0.12225020E+03      0.89052556E-01      0.26410382E+02      0.28742877E+02      0.80819222E+01      0.94207068E+02      0.94014813E+01      0.92167221E+01      0.82420266E+01      0.10388879E+00      0.22141026E-11      0.37491418E-01      0.12128074E+00      0.35419392E-01      0.15861991E-02      0.55825168E-23      0.32392796E+00      0.15569002E-03      0.60616159E+01      0.53802891E+03
      2153      0.51839446E+03      0.57001869E+03      0.49101024E+03      0.14522696E+04      0.36838817E+03      0.79735721E+03      0.12364277E+03      0.15796380E+03      0.13485964E+02      0.31849675E+00      0.19311345E+02      0.43045495E+02      0.36925909E+01      0.31679759E+02      0.35118063E+03      0.12226751E+03      0.88413494E-01      0.26420940E+02      0.28742865E+02      0.78716447E+01      0.93013157E+02      0.92614644E+01      0.91776214E+01      0.82358454E+01      0.98914675E-01      0.17951258E-11      0.34332057E-01      0.11528299E+00      0.33390256E-01      0.14822724E-02      0.39543337E-23      0.31767247E+00      0.14725751E-03      0.60630409E+01      0.53802891E+03
      2154      0.51596127E+03      0.56746028E+03      0.48897609E+03      0.14503097E+04      0.36797600E+03      0.79849287E+03      0.12211816E+03      0.15796385E+03      0.13485962E+02      0.31849732E+00      0.19306269E+02      0.43059196E+02      0.36935202E+01      0.31681611E+02      0.35227993E+03      0.12228421E+03      0.87793511E-01      0.26429761E+02      0.28742854E+02      0.76665056E+01      0.91833218E+02      0.91233975E+01      0.91386483E+01      0.82296627E+01      0.94174110E-01      0.14553942E-11      0.31438559E-01      0.10956678E+00      0.31477120E-01      0.13851213E-02      0.28010225E-23      0.31153248E+00      0.13927807E-03      0.60610157E+01      0.53802891E+03
      2155      0.51356201E+03      0.56493791E+03      0.48697582E+03      0.14483187E+04      0.36755329E+03      0.79961912E+03      0.12061538E+03      0.15796390E+03      0.13485961E+02      0.31849789E+00      0.19301223E+02      0.43071493E+02      0.36944252E+01      0.31683566E+02      0.35337171E+03      0.12230094E+03      0.87192713E-01      0.26437949E+02      0.28742842E+02      0.74666099E+01      0.90668290E+02      0.89873936E+01      0.90998423E+01      0.82234849E+01      0.89660856E-01      0.11799820E-11      0.28789229E-01      0.10412903E+00      0.29673813E-01      0.12943382E-02      0.19840832E-23      0.30551212E+00      0.13173109E-03      0.60609321E+01      0.53802891E+03
      2156      0.51120924E+03      0.56246473E+03      0.48501926E+03      0.14463313E+04      0.36712014E+03      0.80074551E+03      0.11913533E+03      0.15796395E+03      0.13485959E+02      0.31849846E+00      0.19296224E+02      0.43084391E+02      0.36953569E+01      0.31685854E+02      0.35446186E+03      0.12231821E+03      0.86611061E-01      0.26446299E+02      0.28742831E+02      0.72720032E+01      0.89519131E+02      0.88535324E+01      0.90612345E+01      0.82173172E+01      0.85367514E-01      0.95674551E-12      0.26363928E-01      0.98966036E-01      0.27974365E-01      0.12095306E-02      0.14054104E-23      0.29961396E+00      0.12459589E-03      0.60633652E+01      0.53802891E+03
      2157      0.50890643E+03      0.56004416E+03      0.48310821E+03      0.14443749E+04      0.36667664E+03      0.80188007E+03      0.11767871E+03      0.15796400E+03      0.13485958E+02      0.31849904E+00      0.19291287E+02      0.43099400E+02      0.36963598E+01      0.31688686E+02      0.35555542E+03      0.12233649E+03      0.86048455E-01      0.26455462E+02      0.28742819E+02      0.70826993E+01      0.88386361E+02      0.87218768E+01      0.90228526E+01      0.82111640E+01      0.81286179E-01      0.77581554E-12      0.24144043E-01      0.94073951E-01      0.26373054E-01      0.11303237E-02      0.99551188E-24      0.29383973E+00      0.11785214E-03      0.60682341E+01      0.53802891E+03
      2158      0.50665365E+03      0.55767583E+03      0.48124112E+03      0.14424790E+04      0.36622288E+03      0.80303152E+03      0.11624635E+03      0.15796405E+03      0.13485956E+02      0.31849961E+00      0.19286428E+02      0.43118018E+02      0.36974838E+01      0.31692301E+02      0.35665795E+03      0.12235632E+03      0.85504876E-01      0.26466116E+02      0.28742808E+02      0.68987268E+01      0.87270709E+02      0.85925014E+01      0.89847290E+01      0.82050309E+01      0.77409445E-01      0.62918665E-12      0.22112516E-01      0.89425334E-01      0.24864492E-01      0.10563677E-02      0.70516335E-24      0.28819167E+00      0.11148070E-03      0.60758698E+01      0.53802891E+03
      2159      0.50444011E+03      0.55534796E+03      0.47940793E+03      0.14406412E+04      0.36575895E+03      0.80419984E+03      0.11483789E+03      0.15796411E+03      0.13485955E+02      0.31850018E+00      0.19281650E+02      0.43139837E+02      0.36987292E+01      0.31696711E+02      0.35776981E+03      0.12237775E+03      0.84979812E-01      0.26478188E+02      0.28742796E+02      0.67199385E+01      0.86172040E+02      0.84653803E+01      0.89468667E+01      0.81989185E+01      0.73727167E-01      0.51034475E-12      0.20253320E-01      0.84993689E-01      0.23443301E-01      0.98731401E-03      0.49949715E-24      0.28266756E+00      0.10546104E-03      0.60844191E+01      0.53802891E+03
      2160      0.50225401E+03      0.55304413E+03      0.47759545E+03      0.14388376E+04      0.36528495E+03      0.80537890E+03      0.11345219E+03      0.15796417E+03      0.13485953E+02      0.31850075E+00      0.19276944E+02      0.43163298E+02      0.37000615E+01      0.31701759E+02      0.35888750E+03      0.12240048E+03      0.84472385E-01      0.26491108E+02      0.28742784E+02      0.65461007E+01      0.85089572E+02      0.83404133E+01      0.89092467E+01      0.81928242E+01      0.70227592E-01      0.41400126E-12      0.18551534E-01      0.80778085E-01      0.22104210E-01      0.92282335E-03      0.35381504E-24      0.27726196E+00      0.99772171E-04      0.60919983E+01      0.53802891E+03
      2161      0.50009052E+03      0.55075546E+03      0.47579662E+03      0.14370530E+04      0.36480096E+03      0.80656482E+03      0.11208839E+03      0.15796423E+03      0.13485952E+02      0.31850132E+00      0.19272304E+02      0.43187477E+02      0.37014578E+01      0.31707339E+02      0.36000878E+03      0.12242429E+03      0.83981853E-01      0.26504515E+02      0.28742773E+02      0.63770226E+01      0.84022728E+02      0.82175241E+01      0.88718562E+01      0.81867459E+01      0.66900341E-01      0.33588259E-12      0.16993628E-01      0.76778236E-01      0.20842338E-01      0.86258483E-03      0.25062222E-24      0.27197057E+00      0.94394868E-04      0.60986371E+01      0.53802891E+03
      2162      0.49794588E+03      0.54848115E+03      0.47400936E+03      0.14352759E+04      0.36431403E+03      0.80775466E+03      0.11074595E+03      0.15796429E+03      0.13485950E+02      0.31850189E+00      0.19267725E+02      0.43211753E+02      0.37029003E+01      0.31713367E+02      0.36113191E+03      0.12244903E+03      0.83507531E-01      0.26518148E+02      0.28742761E+02      0.62125346E+01      0.82971139E+02      0.80966615E+01      0.88346893E+01      0.81806831E+01      0.63736287E-01      0.27253124E-12      0.15567281E-01      0.72994128E-01      0.19653120E-01      0.80631326E-03      0.17752636E-24      0.26679020E+00      0.89311548E-04      0.61047431E+01      0.53802891E+03
      2163      0.49581731E+03      0.54622230E+03      0.47223319E+03      0.14334966E+04      0.36383117E+03      0.80894582E+03      0.10942433E+03      0.15796436E+03      0.13485949E+02      0.31850246E+00      0.19263200E+02      0.43235644E+02      0.37043729E+01      0.31719761E+02      0.36225529E+03      0.12247453E+03      0.83048764E-01      0.26531786E+02      0.28742750E+02      0.60524972E+01      0.81934461E+02      0.79777768E+01      0.87977407E+01      0.81746351E+01      0.60726870E-01      0.22114813E-12      0.14261248E-01      0.69401794E-01      0.18532273E-01      0.75374330E-03      0.12574946E-24      0.26171784E+00      0.84505694E-04      0.61104200E+01      0.53802891E+03
      2164      0.49369004E+03      0.54396466E+03      0.47045819E+03      0.14316559E+04      0.36335248E+03      0.81012139E+03      0.10812093E+03      0.15796442E+03      0.13485947E+02      0.31850303E+00      0.19258701E+02      0.43255877E+02      0.37057786E+01      0.31726058E+02      0.36336844E+03      0.12249982E+03      0.82604065E-01      0.26544054E+02      0.28742738E+02      0.58965095E+01      0.80910826E+02      0.78606482E+01      0.87609497E+01      0.81685919E+01      0.57859874E-01      0.17945651E-12      0.13064888E-01      0.65977516E-01      0.17475435E-01      0.70460300E-03      0.89073686E-25      0.25674312E+00      0.79958695E-04      0.61118708E+01      0.53802891E+03
      2165      0.49155562E+03      0.54170732E+03      0.46868484E+03      0.14297227E+04      0.36287802E+03      0.81127198E+03      0.10683414E+03      0.15796448E+03      0.13485946E+02      0.31850360E+00      0.19254206E+02      0.43270998E+02      0.37070604E+01      0.31731967E+02      0.36446531E+03      0.12252424E+03      0.82172358E-01      0.26554240E+02      0.28742726E+02      0.57443089E+01      0.79899012E+02      0.77451290E+01      0.87242773E+01      0.81625475E+01      0.55125640E-01      0.14561942E-12      0.11968689E-01      0.62725478E-01      0.16478683E-01      0.65865101E-03      0.63094675E-25      0.25185900E+00      0.75654448E-04      0.61098020E+01      0.53802891E+03
      2166      0.48942992E+03      0.53947466E+03      0.46693221E+03      0.14277457E+04      0.36240786E+03      0.81241084E+03      0.10556524E+03      0.15796455E+03      0.13485944E+02      0.31850417E+00      0.19249736E+02      0.43284132E+02      0.37082868E+01      0.31737792E+02      0.36555382E+03      0.12254846E+03      0.81753889E-01      0.26563492E+02      0.28742715E+02      0.55959819E+01      0.78899922E+02      0.76313154E+01      0.86877612E+01      0.81565080E+01      0.52520774E-01      0.11816364E-12      0.10964528E-01      0.59629059E-01      0.15538842E-01      0.61569670E-03      0.44692638E-25      0.24706887E+00      0.71582016E-04      0.61096754E+01      0.53802891E+03
      2167      0.48733288E+03      0.53728164E+03      0.46521145E+03      0.14257699E+04      0.36194199E+03      0.81355064E+03      0.10431498E+03      0.15796461E+03      0.13485943E+02      0.31850474E+00      0.19245311E+02      0.43297941E+02      0.37095260E+01      0.31743843E+02      0.36664178E+03      0.12257313E+03      0.81348929E-01      0.26572867E+02      0.28742703E+02      0.54515486E+01      0.77914216E+02      0.75192754E+01      0.86514309E+01      0.81504784E+01      0.50041184E-01      0.95890306E-13      0.10044911E-01      0.56673267E-01      0.14652896E-01      0.57555610E-03      0.31657693E-25      0.24237483E+00      0.67730383E-04      0.61122020E+01      0.53802891E+03
      2168      0.48527662E+03      0.53513312E+03      0.46352533E+03      0.14238324E+04      0.36148037E+03      0.81470214E+03      0.10308397E+03      0.15796468E+03      0.13485941E+02      0.31850531E+00      0.19240949E+02      0.43314416E+02      0.37108369E+01      0.31750401E+02      0.36773604E+03      0.12259887E+03      0.80957683E-01      0.26583221E+02      0.28742692E+02      0.53110059E+01      0.76942432E+02      0.74090624E+01      0.86153126E+01      0.81444633E+01      0.47682473E-01      0.77823773E-13      0.92029012E-02      0.53868435E-01      0.13817944E-01      0.53805372E-03      0.22424489E-25      0.23775896E+00      0.64088738E-04      0.61173293E+01      0.53802891E+03
      2169      0.48326346E+03      0.53302944E+03      0.46187310E+03      0.14219606E+04      0.36102296E+03      0.81587378E+03      0.10187296E+03      0.15796476E+03      0.13485940E+02      0.31850588E+00      0.19236667E+02      0.43334887E+02      0.37122674E+01      0.31757695E+02      0.36884208E+03      0.12262620E+03      0.80580260E-01      0.26595185E+02      0.28742680E+02      0.51743830E+01      0.75985203E+02      0.73007399E+01      0.85794368E+01      0.81384681E+01      0.45440528E-01      0.63170509E-13      0.84320732E-02      0.51223399E-01      0.13031191E-01      0.50302549E-03      0.15884218E-25      0.23322348E+00      0.60646881E-04      0.61252688E+01      0.53802891E+03
      2170      0.48128704E+03      0.53095984E+03      0.46024564E+03      0.14201515E+04      0.36056973E+03      0.81706525E+03      0.10068168E+03      0.15796483E+03      0.13485938E+02      0.31850645E+00      0.19232466E+02      0.43358864E+02      0.37138178E+01      0.31765738E+02      0.36996007E+03      0.12265517E+03      0.80216304E-01      0.26608667E+02      0.28742669E+02      0.50415935E+01      0.75042411E+02      0.71942863E+01      0.85438063E+01      0.81324933E+01      0.43309620E-01      0.51284366E-13      0.77263864E-02      0.48696746E-01      0.12289848E-01      0.47030793E-03      0.11251466E-25      0.22878638E+00      0.57393862E-04      0.61341254E+01      0.53802891E+03
      2171      0.47933660E+03      0.52890914E+03      0.45863081E+03      0.14183806E+04      0.36012064E+03      0.81827003E+03      0.99509128E+02      0.15796491E+03      0.13485937E+02      0.31850702E+00      0.19228339E+02      0.43384721E+02      0.37154534E+01      0.31774373E+02      0.37108619E+03      0.12268546E+03      0.79865113E-01      0.26623080E+02      0.28742657E+02      0.49124488E+01      0.74113381E+02      0.70896174E+01      0.85084027E+01      0.81265362E+01      0.41283073E-01      0.41640390E-13      0.70802166E-02      0.46274801E-01      0.11591180E-01      0.43974174E-03      0.79698913E-26      0.22444332E+00      0.54318453E-04      0.61419922E+01      0.53802891E+03
      2172      0.47740165E+03      0.52686920E+03      0.45702243E+03      0.14166276E+04      0.35967564E+03      0.81948255E+03      0.98354635E+02      0.15796500E+03      0.13485935E+02      0.31850759E+00      0.19224277E+02      0.43411208E+02      0.37171439E+01      0.31783458E+02      0.37221712E+03      0.12271680E+03      0.79526028E-01      0.26637939E+02      0.28742646E+02      0.47868145E+01      0.73197615E+02      0.69866692E+01      0.84732139E+01      0.81205950E+01      0.39355002E-01      0.33813904E-13      0.64884455E-02      0.43993680E-01      0.10932636E-01      0.41118100E-03      0.56454125E-26      0.22019086E+00      0.51410392E-04      0.61488350E+01      0.53802891E+03
      2173      0.47547654E+03      0.52483787E+03      0.45541911E+03      0.14148812E+04      0.35923471E+03      0.82069971E+03      0.97217742E+02      0.15796508E+03      0.13485934E+02      0.31850815E+00      0.19220279E+02      0.43437698E+02      0.37188718E+01      0.31792908E+02      0.37335095E+03      0.12274900E+03      0.79198524E-01      0.26652980E+02      0.28742634E+02      0.46645665E+01      0.72294801E+02      0.68853991E+01      0.84382342E+01      0.81146690E+01      0.37520246E-01      0.27461304E-13      0.59464305E-02      0.41837782E-01      0.10311849E-01      0.38449181E-03      0.39988854E-26      0.21602649E+00      0.48660288E-04      0.61551201E+01      0.53802891E+03
      2174      0.47356026E+03      0.52281501E+03      0.45382093E+03      0.14131367E+04      0.35879780E+03      0.82192021E+03      0.96098002E+02      0.15796517E+03      0.13485932E+02      0.31850872E+00      0.19216341E+02      0.43463979E+02      0.37206287E+01      0.31802682E+02      0.37448686E+03      0.12278199E+03      0.78882179E-01      0.26668091E+02      0.28742623E+02      0.45455872E+01      0.71404643E+02      0.67857671E+01      0.84034585E+01      0.81087574E+01      0.35773964E-01      0.22304394E-13      0.54499516E-02      0.39769309E-01      0.97266213E-02      0.35954959E-03      0.28325804E-26      0.21194783E+00      0.46059321E-04      0.61610284E+01      0.53802891E+03
      2175      0.47163993E+03      0.52078745E+03      0.45221884E+03      0.14113353E+04      0.35836488E+03      0.82312663E+03      0.94993214E+02      0.15796526E+03      0.13485931E+02      0.31850929E+00      0.19212434E+02      0.43486734E+02      0.37223174E+01      0.31812314E+02      0.37561391E+03      0.12281477E+03      0.78575693E-01      0.26681884E+02      0.28742611E+02      0.44296005E+01      0.70525526E+02      0.66875859E+01      0.83688292E+01      0.81028506E+01      0.34109151E-01      0.18116488E-13      0.49949931E-02      0.37801181E-01      0.91746881E-02      0.33622645E-03      0.20064370E-26      0.20794656E+00      0.43597517E-04      0.61626753E+01      0.53802891E+03
      2176      0.46971492E+03      0.51875501E+03      0.45061390E+03      0.14094463E+04      0.35793591E+03      0.82430929E+03      0.93902023E+02      0.15796535E+03      0.13485929E+02      0.31850986E+00      0.19208539E+02      0.43504482E+02      0.37238812E+01      0.31821519E+02      0.37672578E+03      0.12284672E+03      0.78278155E-01      0.26693642E+02      0.28742600E+02      0.43163968E+01      0.69656395E+02      0.65907320E+01      0.83343092E+01      0.80969424E+01      0.32520297E-01      0.14714557E-13      0.45779649E-02      0.35945682E-01      0.86540126E-02      0.31440893E-03      0.14212445E-26      0.20401706E+00      0.41266262E-04      0.61607668E+01      0.53802891E+03
      2177      0.46780762E+03      0.51674163E+03      0.44902502E+03      0.14075168E+04      0.35751086E+03      0.82548151E+03      0.92825556E+02      0.15796543E+03      0.13485928E+02      0.31851043E+00      0.19204672E+02      0.43520328E+02      0.37253882E+01      0.31830600E+02      0.37783052E+03      0.12287848E+03      0.77989900E-01      0.26704506E+02      0.28742588E+02      0.42060484E+01      0.68798041E+02      0.64952880E+01      0.82999344E+01      0.80910390E+01      0.31005553E-01      0.11951716E-13      0.41958025E-02      0.34191827E-01      0.81629501E-02      0.29400757E-03      0.10067279E-26      0.20016209E+00      0.39059728E-04      0.61608061E+01      0.53802891E+03
      2178      0.46593125E+03      0.51476136E+03      0.44746311E+03      0.14055810E+04      0.35708968E+03      0.82665313E+03      0.91764476E+02      0.15796552E+03      0.13485926E+02      0.31851099E+00      0.19200847E+02      0.43536343E+02      0.37268901E+01      0.31839792E+02      0.37893421E+03      0.12291054E+03      0.77711126E-01      0.26715294E+02      0.28742577E+02      0.40985714E+01      0.67951031E+02      0.64013112E+01      0.82657324E+01      0.80851453E+01      0.29562639E-01      0.97082289E-14      0.38456564E-02      0.32505389E-01      0.76999056E-02      0.27493587E-03      0.71310810E-27      0.19638337E+00      0.36972033E-04      0.61633727E+01      0.53802891E+03
      2179      0.46409014E+03      0.51281851E+03      0.44593088E+03      0.14036662E+04      0.35667235E+03      0.82783233E+03      0.90719316E+02      0.15796561E+03      0.13485925E+02      0.31851156E+00      0.19197078E+02      0.43554054E+02      0.37284314E+01      0.31849301E+02      0.38004206E+03      0.12294336E+03      0.77441975E-01      0.26726656E+02      0.28742565E+02      0.39939656E+01      0.67115834E+02      0.63088472E+01      0.82317281E+01      0.80792657E+01      0.28189103E-01      0.78866189E-14      0.35248914E-02      0.30879695E-01      0.72633501E-02      0.25711133E-03      0.50512476E-27      0.19268209E+00      0.34997402E-04      0.61683988E+01      0.53802891E+03
      2180      0.46228509E+03      0.51091352E+03      0.44442762E+03      0.14018015E+04      0.35625883E+03      0.82902809E+03      0.89690763E+02      0.15796571E+03      0.13485923E+02      0.31851213E+00      0.19193381E+02      0.43574979E+02      0.37300618E+01      0.31859364E+02      0.38115988E+03      0.12297746E+03      0.77182660E-01      0.26739276E+02      0.28742554E+02      0.38922602E+01      0.66293004E+02      0.62179507E+01      0.81979504E+01      0.80734054E+01      0.26882655E-01      0.64076747E-14      0.32310911E-02      0.29356994E-01      0.68518440E-02      0.24045685E-03      0.35780132E-27      0.18905980E+00      0.33130391E-04      0.61762307E+01      0.53802891E+03
